user_id,station_id,ts,clicks_1h,clicks_24h,purchases_7d,y
328,8,2025-01-02T11:19:00,1,3,1,0
280,6,2025-01-28T04:58:00,1,6,1,1
102,46,2025-01-30T21:50:00,1,3,0,0
389,11,2025-01-20T13:36:00,1,7,1,1
50,23,2025-01-16T23:41:00,0,1,0,0
194,6,2025-01-26T10:58:00,1,10,1,1
36,3,2025-01-11T16:55:00,2,0,2,0
233,41,2025-01-17T22:29:00,2,9,0,0
37,39,2025-01-30T05:33:00,3,12,1,0
328,45,2025-01-26T16:20:00,2,9,1,0
413,21,2025-01-19T14:10:00,1,8,2,1
336,32,2025-01-19T08:08:00,4,6,1,0
276,17,2025-01-27T22:31:00,0,6,0,1
253,6,2025-01-03T11:27:00,2,5,1,1
198,25,2025-01-28T10:52:00,4,8,2,1
370,8,2025-01-25T18:30:00,2,1,0,1
2,47,2025-01-13T07:41:00,5,9,0,0
431,41,2025-01-24T10:30:00,1,4,1,0
272,1,2025-01-28T14:12:00,1,6,2,0
158,16,2025-01-03T23:16:00,2,10,2,0
390,35,2025-01-07T01:21:00,3,10,0,0
217,14,2025-01-25T21:03:00,2,2,0,0
192,29,2025-01-24T21:19:00,0,5,1,0
302,15,2025-01-01T15:51:00,4,10,1,1
37,33,2025-01-12T03:57:00,1,9,0,0
296,31,2025-01-12T09:25:00,2,1,1,1
217,27,2025-01-22T14:06:00,2,6,0,1
373,22,2025-01-06T07:21:00,2,8,0,1
128,5,2025-01-21T12:01:00,3,2,2,1
8,6,2025-01-12T02:11:00,3,10,1,1
195,1,2025-01-19T02:26:00,1,11,0,0
402,36,2025-01-23T11:34:00,2,9,2,0
383,21,2025-01-03T22:26:00,4,10,2,1
261,6,2025-01-09T18:58:00,2,7,1,0
292,16,2025-01-27T16:20:00,0,2,0,0
479,17,2025-01-10T15:06:00,1,3,0,0
235,21,2025-01-04T15:14:00,4,9,0,0
260,17,2025-01-07T08:40:00,5,7,1,1
427,35,2025-01-15T02:25:00,0,0,0,0
154,43,2025-01-06T01:08:00,2,6,1,0
140,19,2025-01-28T20:38:00,2,9,0,0
129,4,2025-01-05T12:48:00,0,0,1,1
135,11,2025-01-21T10:36:00,0,3,1,0
463,10,2025-01-26T03:55:00,3,8,0,1
187,3,2025-01-17T14:49:00,2,9,2,0
209,40,2025-01-08T08:48:00,3,7,1,1
212,2,2025-01-09T11:54:00,1,3,2,0
416,16,2025-01-13T11:25:00,3,11,0,1
103,30,2025-01-17T05:55:00,0,10,1,1
169,18,2025-01-04T11:49:00,3,7,0,0
275,22,2025-01-02T14:08:00,5,15,2,1
56,39,2025-01-21T02:39:00,0,9,0,1
461,37,2025-01-09T23:37:00,1,10,3,1
369,48,2025-01-10T07:12:00,1,6,0,0
435,8,2025-01-15T00:01:00,0,4,0,1
99,27,2025-01-18T14:07:00,0,0,0,0
1,20,2025-01-14T09:23:00,2,12,0,0
346,14,2025-01-24T14:20:00,0,6,1,1
264,43,2025-01-30T03:20:00,1,5,1,1
413,13,2025-01-08T00:56:00,3,8,0,1
213,41,2025-01-27T12:47:00,3,12,0,0
3,49,2025-01-06T04:25:00,2,4,1,0
286,16,2025-01-06T20:33:00,0,6,0,0
487,49,2025-01-21T11:24:00,0,1,0,0
460,11,2025-01-22T22:28:00,0,6,1,0
249,41,2025-01-12T05:19:00,1,7,0,1
277,6,2025-01-07T15:08:00,3,10,1,1
170,35,2025-01-22T12:54:00,0,6,0,0
357,2,2025-01-27T12:48:00,1,6,0,0
489,27,2025-01-25T19:52:00,1,2,0,1
224,32,2025-01-02T15:42:00,0,7,1,0
471,9,2025-01-29T15:40:00,0,3,0,1
220,9,2025-01-22T08:17:00,2,9,0,1
451,25,2025-01-13T23:55:00,2,1,0,1
277,4,2025-01-17T06:15:00,2,8,1,1
127,13,2025-01-02T06:15:00,0,3,0,0
239,45,2025-01-12T23:53:00,2,5,0,1
